,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
37,Nathan Jones,528000,Demons,MI,16,Giants,Sat 3 Jul 12:00pm,64.54545454545455,R:16_P:Nathan Jones,R:16_P:Nathan Jones_MI,1
38,Nathan Jones,528000,Demons,MI,18,Hawks,Sat 17 Jul 12:00pm,84.18181818181819,R:18_P:Nathan Jones,R:18_P:Nathan Jones_MI,1
39,Nathan Jones,528000,Demons,MI,20,Bulldogs,Sat 31 Jul 12:00pm,55.09090909090909,R:20_P:Nathan Jones,R:20_P:Nathan Jones_MI,1
40,Nathan Jones,528000,Demons,MI,22,Crows,Sat 14 Aug 12:00pm,79.81818181818181,R:22_P:Nathan Jones,R:22_P:Nathan Jones_MI,1
41,Nathan Jones,528000,Demons,MI,3,Giants,Sun 4 Apr 6:10pm,64.54545454545455,R:3_P:Nathan Jones,R:3_P:Nathan Jones_MI,1
42,Nathan Jones,528000,Demons,MI,5,Hawks,Sun 18 Apr 3:20pm,84.18181818181819,R:5_P:Nathan Jones,R:5_P:Nathan Jones_MI,1
43,Nathan Jones,528000,Demons,MI,7,Kangaroos,Sat 1 May 12:00pm,74.36363636363636,R:7_P:Nathan Jones,R:7_P:Nathan Jones_MI,1
44,Nathan Jones,528000,Demons,MI,10,Crows,Sat 22 May 12:00pm,79.81818181818181,R:10_P:Nathan Jones,R:10_P:Nathan Jones_MI,1
45,Nathan Jones,528000,Demons,MI,11,Bulldogs,Sat 29 May 12:00pm,55.09090909090909,R:11_P:Nathan Jones,R:11_P:Nathan Jones_MI,1
46,Nathan Jones,528000,Demons,MI,15,Bombers,Sat 26 Jun 12:00pm,73.27272727272727,R:15_P:Nathan Jones,R:15_P:Nathan Jones_MI,1
47,Nathan Jones,528000,Demons,MI,17,Power,Sat 10 Jul 12:00pm,83.9090909090909,R:17_P:Nathan Jones,R:17_P:Nathan Jones_MI,1
48,Nathan Jones,528000,Demons,MI,19,Suns,Sat 24 Jul 12:00pm,76.0909090909091,R:19_P:Nathan Jones,R:19_P:Nathan Jones_MI,1
49,Nathan Jones,528000,Demons,MI,21,Eagles,Sat 7 Aug 12:00pm,75.5,R:21_P:Nathan Jones,R:21_P:Nathan Jones_MI,1
50,Nathan Jones,528000,Demons,MI,23,Cats,Sat 21 Aug 12:00pm,75.0,R:23_P:Nathan Jones,R:23_P:Nathan Jones_MI,1
51,Jaidyn Stephenson,470000,Magpies,FO,23,Bombers,Sat 21 Aug 12:00pm,86.0,R:23_P:Jaidyn Stephenson,R:23_P:Jaidyn Stephenson_FO,1
52,Levi Greenwood,398000,Magpies,MI,12,Crows,Sat 5 Jun 12:00pm,55.09090909090909,R:12_P:Levi Greenwood,R:12_P:Levi Greenwood_MI,1
53,Bryce Gibbs,487000,Crows,DE,1,Cats,Sat 20 Mar 4:05pm,58.72727272727273,R:1_P:Bryce Gibbs,R:1_P:Bryce Gibbs_DE,1
